F1,College or VP,Program Name,Description,URL,Inclusive Excellence area,Notes,constituent group
,Pamplin College of Business,Business Explorations Conference,"Pamplin’s goal is to increase the diversity of its undergraduate population by increasing the number of applications from highly-qualified students from under-represented populations.  Business Expo warmly welcomes students to campus to interact with business students/faculty/professionals, learn about the various career opportunities within business, experience the Hokie culture, and see the beautiful campus.",,Access and Success; Education and Scholarship,,Faculty Members; Staff Members
65,Pamplin College of Business,PUMP (Pamplin's Undergraduate Mentoring Programs),"Pamplin's Undergraduate Mentoring Programs (PUMP) assists incoming freshmen and transfer students with their college transition by providing positive academic, professional, and social environments outside of the classroom.",http://www.undergrad.pamplin.vt.edu/peermentor/peermentorindex.html,Access and Success; Education and Scholarship,,Undergraduate Students; Graduate and Professional Students 
,Pamplin College of Business,Diversity Recruiter Position,Creation of a 20-hour Diversity Recruiter position in 2012 added infrastructure to support the College’s goal of increasing the diversity of its undergraduate population.   Development of a scholarship program for underrepresented students in 2013 is managed by this position.   ,,Access and Success,,Faculty Members; Staff Members
68,Pamplin College of Business,Business Diversity Center,The Business Diversity Center was formed in 2007 to establish the Pamplin College of Business as a leader for organizational diversity initiatives among colleges of business throughout the world,http://www.diversity.pamplin.vt.edu/,Education and Scholarship,,Faculty Members; Staff Members
69,Pamplin College of Business,Business Diversity Minor,The Minor in Multicultural Diversity Management is an 18-hour program that enables students of all majors to build valuable skills that are central to managerial effectiveness,http://www.diversity.pamplin.vt.edu/minor.html,Education and Scholarship,,Undergraduate Students
70,Pamplin College of Business,Case Competition ,No Information,http://www.pmdc.org.vt.edu/Keynote%20Speaker.html,Education and Scholarship,,Faculty Members; Staff Members
61,Pamplin College of Business,College Ambassadors,No Information,http://www.undergrad.pamplin.vt.edu/ambassadors/biographies.html,Access and Success,,Faculty Members
66,Pamplin College of Business,Events,Diversity Events,http://www.diversity.pamplin.vt.edu/events.html,Campus Climate and Intergroup Relations,,Faculty Members (specifically African American and Hispanic tenured and tenure track faculty)
63,Pamplin College of Business,"LEAP (Leadership, Excellence, and Academics in Pamplin)",LEAP is a five-day program held on the Blacksburg campus during New Student Orientation in July. - See more at: http://www.cpe.vt.edu/mpd.leap/index.html#sthash.4quM4dKe.dpuf,http://www.cpe.vt.edu/mpd.leap/index.html,Access and Success,,Faculty Members; Staff Members (specifically Provost's Office)
64,Pamplin College of Business,LEAP Advisory Board (LEAP AB),No Information,https://gobblerconnect.vt.edu/organization/LEAPAB,Access and Success,,Undergraduate Students (specifically prospective medical school students)
62,Pamplin College of Business,Pamplin Multicultural Diversity Council,PMDC believe diversity encompasses discovering what makes us all unique.,http://www.vtpmdc.org/index.html,Access and Success,,Gradaute and Professional Students (VTCSOM); Faculty Members; Staff Members; Other (Colleagues from partner organizations such as Carilion Clinic)
,Science,Living and Learning Communities (LLC),"The interactions of students during their first year of campus life has been found to be most important to their academic success. In order to promote these effective environments, LLCs have been developed on the Virginia Tech campus. These LLCs not only provide a reaffirming environment to our present community of students as measured through student retention, but can strongly influence the admission decisions of prospective students. The COS LLC (described below) is focused on increasing the numbers of underrepresented students and women in the sciences and in mathematics.",,Access and Success,,"Other - elementary, middle, high school, and community college students "
,Science,Inclusion Seminars and Advising Workshops,"Education in science and math has historically focused on practice and theory, with little mention of the human element. The seminar series will enlighten the community on the role of underrepresented groups and women in science and math in advances in the sciences and mathematics.",,Campus Climate and Intergroup Relations,,
,Science,Undergraduate Research Opportunities (URO),The Undergraduate Research Opportunities (URO) initiative will promote the participation of underrepresented students in meaningful undergraduate research experiences in COS during the academic year and during the summer. This initiative will support the university plan to have each student participate in undergraduate research.,,Education and Scholarship,,
75,Science,College Diversity Committee,No Information,http://www.science.vt.edu/diversity/diversity-function-diversity-committee.html,Institutional Infrastructure,,
73,Science,Diversity Award,The Diversity Committee of the College of Science invites nominations for the College Diversity Award.,http://www.science.vt.edu/diversity/diversity-award.html,Education and Scholarship,,
,University Libraries,Diversity Alliance Resident Librarian,"We are beginning a new fellowship program to hire a Diversity Alliance Resident Librarian.  In conjunction with University of Iowa, American University, and West Virginia University, we are committing to increasing under-represented populations, offering a rich and broad experience to mentor residents and expose fellows to leadership opportunities, scholarship and professional development in academic libraries.",,Education and Scholarship; Institutional Infrastructure,,
,University Libraries,Diversity Award,"The libraries' annual Diversity Award is presented to one person who has  ""made significant contributions that foster diversity and inclusive climate in the University Libraries and in the broader community. ""  Attached is the full award statement/application process.  Past winners are:2012-13 Ross Edmonds2013-14 Tracy Gilmore2014-15 - TBD",,,,
,University Libraries,"Collaboration with Cape Peninsula University of Technology in Cape Town, South Africa","The Libraries are collaborating with Cape Peninsula University of Technology in Cape Town, South Africa on a work/study exchange for faculty as well as staff within the libraries, The visiting faculty or staff will be working face-to-face with many employees here in the library. The idea is an exchange of knowledge that can work to improve workflows of the home institution and shared broadly as well as use this venue as a cultural exchange platform for inclusion and diversity.  ",,Access and Success; Education and Scholarship,,
,University Libraries,Diversity Council,"The fifteen member University Libraries Diversity Council is a standing advisory group reporting to the Dean of the Libraries. The Council supports Virginia Tech's strategic plan goal to “foster a diverse and inclusive community that supports mutual respect” in the University Libraries and the Virginia Tech community. Council members will:• Review the library's diversity profile and workplace demographics – at least on an bi-annual basis• Establish annual goals for the Council at the beginning of each academic year utilizing the University DiversityStrategic Plan, for discussion and approval by the Dean of the Libraries• Develop strategies to improve the recruitment and retention of a diverse workforce• Create and execute diversity events for the campus, town, and regional communities to attend• Solicit and accept help and ideas from Library members not on the committee who are interested inparticipating in library diversity activities• Suggest approaches to improve employee morale and the work environment• Advocate work/life balance approaches• Issue an annual report of its activities and progress in achieving stated goals• Provide information to the Office of Diversity and Inclusion as requested",,,,
80,University Libraries,Inclusion and Diversity Events,"The library will be hosting multiple events to support inclusion and diversity at Virginia Tech.  One example is the Living Library where people of different cultures are invited to share their personal stories.  Film screenings, speakers, and displays will also be hosted at the library.  Underrepresented groups such as LGBT, Hispanic interest groups, and the Black Student Alliance will also partner with us for these events.",,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship,,
,Veterinary Medicine,Search Advocate Program,"Search Advocates are college employees trained as process experts in search and selection, and serve as a true member of the search committee.  The Search Advocate begins by working with the search committee on final development/review of the position description and qualifications before the position is posted.  In addition to regular participation, he or she provides research-based information about unconscious cognitive and structural biases that affect search and selection processes, and suggests strategies to help mitigate the effects of those biases.  The Search Advocate works collaboratively within the group, and promotes diversity by sharing current information, recommending inclusive/affirmative strategies, supporting full committee and stakeholder participation, as well as consulting with the Office of Equity and Inclusion as needed.",,Access and Success,,
,Veterinary Medicine,Summer Camp and Continuing Mentorship Program for Underrepresented Students,"The goal of this program is to expose underrepresented students to the field of veterinary medicine in the hope that they will not only choose it as a career path, but choose Virginia-Maryland College of Veterinary Medicine as the school they wish to attend.  Students will be involved in various activities aimed at evaluating their skills and competitiveness as future veterinarians, providing mentorship, and helping them experience veterinary medicine as an exciting career path.  The camp will provide opportunities for observation of and participation in various services in the Veterinary Teaching Hospital, the Teaching & Research Animal Care Support Service (TRACSS), Production Management Medicine (PMM), and potentially a “field trip” to other animal and research facilities on the campus of Virginia Tech.  Other activities include information sessions on admission requirements, research opportunities, the curriculum, study abroad opportunities, and underserved specializations in the field of veterinary medicine.  After completion of the camp, continuing mentorship will be made available to students, including the opportunity to interact with veterinary practitioners in their home districts.  Financial support will be sought from the Provost’s Office to assist with expenses related to housing of students during the summer camp.",,Access and Success,,
,Veterinary Medicine,Dual Study/Career Program for DVM,"This program will explore the feasibility of creating a dual-career/study program for DVM students, modeled after the dual-career program for faculty through Virginia Tech Human Resources and the Provost’s Office.  Virginia-Maryland College of Veterinary Medicine recognizes the value of ensuring that minorities have supportive personal relationships while living in Blacksburg, and believes that the ability to move to Blacksburg with family members would mitigate against the relative lack of diversity in our community.  The average age of students entering the DVM program is 25, by which time many have already established long-term relationships with spouses or partners.  This initiative would try to identify gainful employment or a sponsored study opportunity for a partner of a minority DVM student, provide an added level of support to students as they transition to veterinary school with their family, and would be a great recruiting tool to market to prospective minority students.  This would be a collaborative effort between the College, the Provost Office, and the department/unit that employs or enrolls the partner, with appropriate cost-sharing.  This could potentially be extended to MPH students as well as PhD students across the University.",,Access and Success,,
79,Veterinary Medicine,Advisory Committee on Diversity,"Members of the college's Advisory Committee on Diversity are appointed by the Dean in consultation with department heads. The committee:• Makes recommendations to the College Executive Board on methods to improve the climate within the college and enhance recruitment of students, staff, and faculty from under-represented groups• Organizes and carries out the MAOP Summer Research Internship Program each year",https://www.vetmed.vt.edu/diversity.asp,Institutional Infrastructure,,
76,Veterinary Medicine,VOICE (Veterinary Students as One In Culture and Ethnicity),"The VA-MD Vet Med chapter of Veterinary Students as One In Culture and Ethnicity (VOICE), founded in September 2010, is a student-run organization that addresses a need for sociocultural awareness that is not part of the current core veterinary curriculum. We are an organized and unified student voice contributing to enhancing the diversity of the profession and the cultural competence of veterinary students.",http://www.vetmed.vt.edu/diversity.asp,Institutional Infrastructure,,
,Carilion School of Medicine,VTCSOM/Hampton University Guaranteed Admissions Program/Preferred Applicant Track (GAP),"VTCSOM will establish a guaranteed admission/direct admit pipeline program with Hampton University, a top-ranked historically Black institution. The VTCSOM/HU Guaranteed Admission Program includes residential programs for two summers that will provide interviewing skills, clinical, research, and shadowing experiences, networking opportunities and professional exam preparation to Hampton University students to increase their ability to become competitive in the medical school process.",,,,
,Carilion School of Medicine,Lunch and Learn Diversity Development Institute (DDI) Series,"The Lunch & Learn DDI series is a structured curriculum through which VTCSOM students, faculty, staff, and collaborative partners can enhance their diversity awareness and competencies; thereby positively influencing their working and learning environments.",,,,
,Carilion School of Medicine,Youth Outreach and Engagement,"VTCSOM faculty, staff and students will engage in structured educational and enrichment activities with elementary, middle, high school and community college students to promote awareness of medicine among underrepresented youth.",,,,
81,Carilion School of Medicine,Camp Carilion,Camp Carilion is for rising eighth- and ninth-graders who are interested in a future career in health care,http://www.vtc.vt.edu/education/community_engagement/camp_carilion.html,Access and Success,,
82,Carilion School of Medicine,Community Outreach Program,"The Community Outreach Program seeks to provide Virginia Tech Carilion School of Medicine students, faculty, and staff with the opportunities and support to integrate community outreach, health promotion, and service activities into their day-to-day life ",http://www.vtc.vt.edu/education/diversity/community_outreach_program.html,Access and Success,,
89,Carilion School of Medicine,Community and Diversity Advisory Board,"The Community and Diversity Advisory Board achieves its mission by providing guidance to the school’s leadership related to the school’s diversity initiatives, by creating a welcoming community environment for students by connecting them with appropriate resources in the community, by encouraging involvement of the community in school functions and activities as appropriate, and by encouraging involvement of faculty, staff, and students in the community.",http://www.vtc.vt.edu/education/diversity/CDAB/missionstatement.html,Institutional Infrastructure,,
86,Carilion School of Medicine,Events,The school encourages inclusiveness of diverse cultures and beliefs through several programs,http://www.vtc.vt.edu/education/diversity/diversity_events.html,Campus Climate and Intergroup Relations,,
83,Carilion School of Medicine,High School Mentoring Program,The school’s mentoring program gives select seniors an opportunity to spend a semester shadowing a physician faculty member.,http://www.vtc.vt.edu/education/diversity/high_school_mentoring.html,Access and Success,,
84,Carilion School of Medicine,REACH Mentoring Program,"The Research, Education, and Careers in Health (REACH) mentoring program is designed to motivate, empower, and encourage youth in the Roanoke community to achieve their academic and career aspirations in medicine and health by matching middle school, high school, and undergraduate students with Virginia Tech Carilion School of Medicine students.",http://www.vtc.vt.edu/education/diversity/reach_mentoring.html,Access and Success,,
85,Carilion School of Medicine,Safe Zone Program,"Established in 1998, the Safe Zone program was created as a collaborative effort between the Dean of Students; the HokiePRIDE; the Lesbian, Gay, Bisexual, Transgender Caucus (LGBT Caucus); and the Office for Equity and Inclusion (formerly the Office of Equal Opportunity).",http://www.mps.vt.edu/lgbtq/safezone/,Access and Success,,
87,Carilion School of Medicine,Virginia Tech Carilion School of Medicine and Research Institute,"The VTCSOM/HU Guaranteed Admission Program includes residential programs for two summers that will provide interviewing skills, clinical, research, and shadowing experiences, networking opportunities and professional exam preparation to Hampton University students to increase their ability to become competitive in the medical school process.",,Access and Success,,
,Administrative Services,Apprenticeship Program,Three positions in trades-related job groups were created to support the establishment of an apprenticeship program for current employees in Facilities. These positions are in job groups for which there are goals for women and underrepresented groups under the university’s Affirmative Action Plan.,,Access and Success,,
,Administrative Services,VPAS Inclusion and Diversity Leadership Council and Advisory Committee,"The Vice President will establish an Inclusion and Diversity Leadership Council, supported by an Advisory Community, to provide oversight and accountability for division-wide and departmental initiatives.  The VPAS Council mirrors the University’s inclusion and diversity administrative structure of an Executive Council and Advisory Community, and supports the division’s full participation in the decentralized model. The Council will be responsible for planning, coordination, and assessment; monitoring implementation efforts and progress towards goals; actively advocating for inclusive excellence; and reporting to the Vice President.  The Advisory Community will ensure stakeholder input and on-going involvement.",,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship; Institutional Infrastructure,,
,Administrative Services,Unisex Restrooms,"Unisex restrooms are public restrooms that individuals of any gender or gender identity may use. These restrooms supplement the existing gender specific restrooms.  Unisex/family restrooms may be designed to meet ADA accessibility standards, thereby offering flexibility and providing options that benefit multiple groups.  This initiative proposes revisions to the design standards for new construction and major renovations and a process for evaluating and funding requests.     ",,Campus Climate and Intergroup Relations; Access and Success,,
,Administrative Services,Collaboration- Faculty Recruitment and Retention Study,"This initiative will conduct a retention and recruitment study, with structured interviews, of all tenured and tenure track African American and Hispanic faculty",,Campus Climate and Intergroup Relations; Access and Success,,
,Administrative Services,Advancing Childcare Initiatives,Quality child care is critically important to Virginia Tech families and increasingly more important in recruitment and retention as our peer institutions provide more child care options for their community,,Access and Success,,
,Administrative Services,Inclusion and Diversity in New Employee Orientation,"This initiative will modify new employee orientation to focus more on campus inclusion and diversity efforts, including regulatory requirements and efforts to connect new employees with our broader community. There is a young professional network in the Town of Blacksburg which we could promote more effectively, and an opportunity to build such a network on campus.  In addition, we need to provide opportunities for new employees to learn more about the legal requirements and diversity initiatives underway on campus so they can support diversity and inclusion.",,Access and Success,,
108,Administrative Services,University ADA Services,"University ADA Services facilitates equal access through individualized accommodation, consultations, physical and programmatic access, education, outreach, and review of policies and procedures.",http://www.hr.vt.edu/oea/ada/index.html,Access and Success,,
111,Administrative Services,Affirmative Action,Affirmative Action provides oversight of university affirmative action efforts and works in concert with departments to ensure adherence to equal opportunity principles as they relate to the search and selection of faculty.,http://www.hr.vt.edu/oea/affirmative-action/index.html,Access and Success,,
109,Administrative Services,Conflict Resolution,The Conflict Resolution program offers faculty and staff the opportunity to participate in mediation and other informal conflict resolution strategies to address a dispute with another person(s) and also to provide professional development workshops and conflict coaching opportunities to nurture individual learning and growth.,http://www.hr.vt.edu/oea/conflictresolution/index.html,Campus Climate and Intergroup Relations,,
115,Administrative Services,Diversity Development Institute,"The Diversity Development Institute enhances university-wide diversity and inclusion efforts that contribute to the core mission of Virginia Tech. Created at the recommendation of the Provost’s Task Force on Race and the Institution, it provides a structured curriculum through which any employee at Virginia Tech can extend their diversity competencies and thereby positively influence their working and learning environments.",http://uopd.hr.vt.edu/DDI/index.html,Education and Scholarship,,
107,Administrative Services,Equity and Access,"The Office of Equity and Access assists in creating and maintaining an inclusive, diverse, and respectful learning, living, and working environments. Members of the team  work toward ensuring diverse representation in these environments by providing opportunities for each individual’s full participation and success in every facet of the campus community.",http://www.hr.vt.edu/oea/index.html,Access and Success,,
112,Administrative Services,Harassment & Discrimination,"Virginia Tech does not discriminate against employees, students, or applicants on the basis of age, color, disability, gender, gender identity, gender expression, national origin, political affiliation, race, religion, sexual orientation, genetic information, veteran status, or any other basis protected by law. The Office of Equity and Access provides information on dealing with concerns about possible harassment or discrimination, as well as workshops for members of the Virginia Tech community.",http://www.hr.vt.edu/oea/harassment/index.html,Campus Climate and Intergroup Relations,,
110,Administrative Services,Sexual Harassment and Discriminatory Harassment,"Harassment, which is a form of discrimination, is defined under Virginia Tech policy 1025. It should be noted that harassment does not need to be sexual to violate the policy. In addition, harassment can occur even if one person does not have power over the other.",http://www.hr.vt.edu/oea/employeerelations/index.html,Campus Climate and Intergroup Relations,,
113,Administrative Services,Title IX,"Title IX prohibits discrimination on the basis of sex in any educational program or activity that receives federal financial assistance. 20 U.S.C. § 1681(a). The sexual harassment of students, including sexual violence is a form of sex discrimination prohibited under Title IX. This includes, rape, sexual assault, sexual battery, and sexual coercion. University Policy 1025 prohibition against discrimination on the basis of gender includes sex discrimination and harassment and is consistent with the requirements of Title IX.",http://www.hr.vt.edu/oea/title_ix/index.html,Access and Success,,
114,Administrative Services,Title IX Workshops,"Harassment and Discrimination Workshops are designed to be respectful of and helpful to audience members, and to provide ample opportunity for participation. Harassment Prevention and Complain Handling Workshops may be scheduled for any department. Additionally, there are monthly open registration sessions available for all supervisors, managers, faculty and administrators.",http://www.hr.vt.edu/oea/title_ix/index.html,Campus Climate and Intergroup Relations,,
,Alumni Relations,Strong Together Networking Events,"Strong Together events are designed to engage underrepresented alumni, while updating all graduates on alumni diversity initiatives which reflect the values of the Principles of Community.",,,,
,Alumni Relations,Multicultural Admissions Ambassadors,Multicultural alumni will serve as ambassadors to encourage applications and exploration of Virginia Tech by prospective students from underrepresented groups. ,,,,
,Alumni Relations,Alumni Engagement Through Mentoring,"This program will engage alumni by joining students from university chartered, multicultural student organizations with alumni interested in supporting their organizational work and needs.",,,,
98,Alumni Relations,African American/Black Alumni,"There are about 7,451 living African American and Black Virginia Tech alumni. Our alumni served and continue to serve in many important roles. They are committed to providing leadership and helping current students excel. African American and Black alumni are a valuable constituency group to the university. The Alumni Association welcomes the opportunity to engage and learn from African American and Black Alumni.",http://www.diversity.vt.edu/alumni/aab/index.html,Alumni and Community,,
99,Alumni Relations,Black Alumni Reunion,2016 Black Alumni Reunion,http://www.diversity.vt.edu/alumni/aab/bar/index.html,Alumni and Community,,
100,Alumni Relations,Black Alumni Summit,Black Alumni Summit is a biennial gathering of African-American and Black alumni of Virginia Tech. Each Summit offers alumni an opportunity to discuss critical issues related to alumni engagement and continued collaboration with the university.,http://www.diversity.vt.edu/alumni/aab/ba-summit.html,Alumni and Community,,
101,Alumni Relations,American/Native Indian Alumni,There are about 481 living American/Native Indian Virginia Tech alumni. Our alumni served and continue to serve in many important roles. They are committed to providing leadership and helping current students excel. American/Native Indian alumni are a valuable constituency group to the university. The Alumni Association welcomes the opportunity to engage and learn from American/Native Indian alumni. ,http://www.diversity.vt.edu/alumni/ani.html,Alumni and Community,,
102,Alumni Relations,Asian/Pacific Islander Alumni,"There are about 16,039 living Asian/Pacific Islander Virginia Tech alumni. Our alumni served and continue to serve in many important roles. They are committed to providing leadership and helping current students excel. Asian/Pacific Islander alumni are a valuable constituency group to the university. The Alumni Association welcomes the opportunity to engage and learn from Asian/Pacific Islander alumni. ",http://www.diversity.vt.edu/alumni/api.html,Alumni and Community,,
103,Alumni Relations,Hispanic/Latino Alumni,"There are about 3,340 living Hispanic and Latino Virginia Tech alumni across the U.S. Our alumni served and continue to serve in many important roles. They are committed to providing leadership and helping current students excel. Hispanic and Latino alumni are a valuable constituency group to the university. The Alumni Association welcomes the opportunity to engage and learn from Hispanic and Latino alumni. ",http://www.diversity.vt.edu/alumni/hl.html,Alumni and Community,,
104,Alumni Relations,Ex Lapide LGBTQA Alumni Society,"Ex Lapide ( Latin for  “Out of Stone”) is a free Virginia Tech alumni society for lesbian, gay, bisexual, trans*, queer, questioning alumni and the allies that support them.",http://vtexlapide.org/,Alumni and Community,,
105,Alumni Relations,Strong Together,"The Strong Together Initiative is a new campus-wide effort to promote the values set forth in the Virginia Tech Principles of Community. The Strong Together Initiative will include a variety of programming and promotional efforts geared toward raising awareness and facilitating actions that reflect the values of the Principles of Community among students, staff, and faculty.",http://www.diversity.vt.edu/principles-of-community/strongtogether.html,Alumni and Community,,
,Development and University Relations,Underrepresented Groups to Serve as Volunteer Leaders on Advisory Boards,"This initiative will research, identify, and recruit key alumni/donors/friends with expertise to support the goals of the Virginia Tech Foundation Board of Directors, for example, as well as college and university programs advisory groups.  Since these areas will have established diversity initiatives, as well, a standard correlation innately exists.",,Alumni and Community,,
,Development and University Relations,Promoting Inclusion and Diversity Through Communications,"This initiative will work with the Provost and President to insure priorities are defined and promoted.  Work with central and unit communicators to develop materials that outline the university’s comprehensive diversity goals, incorporating the aspects that are also aligned with the specific college/unit their publications represent. ",,Campus Climate and Intergroup Relations,,
,Development and University Relations,Gathering Institutional Fundraising for Inclusion and Diversity,"This initiative will work with the Provost and President to identify funding needs/priorities, develop updated fundraising materials to support those identified needs/priorities, identify potential prospects for those needs/priorities, work with fundraisers across University Development to make them aware of the opportunities.",,Institutional Infrastructure,,
138,Development and University Relations,Inclusion and Diversity Funding Initiatives,"Through the years, we have witnessed the power of communities coming together and shaping the University through their activism and engagement. Today, Virginia Tech's alumni community continues to strengthen the Virginia Tech experience to ensure that diversity remains a central focus at the University. Through the ongoing efforts of the Investment in Diversity Initiative, students and faculty have begun to capitalize on and secure the gains made on our campus in the past while enhancing the Virginia Tech educational experience. For more information, please contact Crystal L. Crockett at (540) 231-5664.",http://www.diversity.vt.edu/giving/index.html,Institutional Infrastructure,,
143,Development and University Relations,Endowed Scholarships,"The Senior Vice President and Provost also encourages you to consider endowing a new fund, which bears your name or the name of someone who impacted your life. The perpetual support provided by endowed scholarship funds is critical to helping Virginia Tech meet its financial aid budget. With our growing commitment to reducing the loan burden upon our students, your gift to help establish an endowed scholarship fund with a preference for an underrepresented student with financial need will help us meet the challenge of providing our students with the competitive financial aid that they need to attend Virginia Tech.  ",http://www.diversity.vt.edu/giving/index.html,Institutional Infrastructure,,
140,Development and University Relations,Overseas Study Initiatives,"Scholarships can do more than just lower the barriers to access. They can raise the caliber of education we provide, by allowing for additional opportunities for Virginia Tech students. Students who study abroad are among the best and brightest at Virginia Tech. By raising $400,000, we will be able to involve more underrepresented students in our highly regarded international studies programs. These include the Presidential Global Scholars Program, a transformative initiative that encourages our top students to study throughout Europe for a semester, and similar programs currently being developed for Ghana, West Africa, and the Dominican Republic.",http://www.diversity.vt.edu/giving/index.html,Institutional Infrastructure,,
139,Development and University Relations,Presidential Scholarship Initiative (VTPSI),"Through the Virginia Tech Presidential Scholarship Initiative, we are able to offset the cost of college for Virginia high school students who have significant financial need. Through the initiative, up to 50 in-state students who demonstrate a capability for stellar academic performance and show evidence of leadership potential are eligible to receive renewable, four-year scholarships.By supporting this initiative, you can open the doors of a Virginia Tech education to promising students who are coming from challenging circumstances. Our goal is to build a $2 million endowment that will allow us to provide a permanent stream of funding to this important scholarship program.",http://www.diversity.vt.edu/giving/index.html,Institutional Infrastructure,,
141,Development and University Relations,Opportunities Scholarship Fund,"The Opportunities Scholarship Fund provides support to promising students who have demonstrated leadership and service in the area of educational diversity by helping to cover expenses they cannot afford on their own. Those selected for the program will return to their communities to promote post-secondary education and educational diversity. The goal is to allow students to continue to be leaders in their home communities and extend that leadership in the Virginia Tech community. By raising $500,000, we will be able to provide students with the tools to further their education and ready them for a lifetime of leadership.",http://www.diversity.vt.edu/giving/index.html,Institutional Infrastructure,,
142,Development and University Relations,Senior Vice President and Provost's Excellence Fund,"Establishing a $400,000 excellence fund is one of our top priorities. This unrestricted fund will allow us to manage the expense of unbudgeted opportunities that frequently become available to our students. An excellence fund will allocate funding where it can be most effective. This fund will be used to enhance existing programs, finance new initiatives, and provide opportunities for student-leadership by supporting training and professional development.",http://www.diversity.vt.edu/giving/index.html,Institutional Infrastructure,,
,Division of Student Affairs,InterGroup Dialogue,"The University of Michigan model of Intergroup Dialogue is the national standard for successful programs. “Intergroup dialogues are defined as facilitated, face-to-face meetings between students from two or more social identity groups that have a history of conflict or potential conflict.”[1]  This is a complex and challenging endeavor. Given the intense personal exploration in year one of the program, successful participants will be prepared to participate as Teaching Assistants for myriad sections of Intergroup Dialogue courses. They will serve as mentors to sustain meaningful intergroup contact, dialogue, and education.  ",,Campus Climate and Intergroup Relations,,
,Division of Student Affairs,Bias Incident Response Team/Protocol,"Virginia Tech is committed to providing an environment of work, study, and leisure/recreation for students, faculty, and staff that is free from all forms of harassment, intimidation, fear, coercion, and exploitation. Harassment is frequently directed at individuals because of age, color, disability, gender (including pregnancy), national or ethnic origin, political affiliation, race, religion, sexual orientation, or veteran status. Any such behavior is reprehensible and subverts the mission of the university. It can threaten the careers, educational experience, and well-being of all members of the community.Complaints about any function of the university are ordinarily handled through the normal administrative chain. Students can take the following steps to file a formal complaint:-Write a letter to the dean, department head or director responsible for the area of complaint. Include in the letter an overview of the problem and the relief requested.-If you are unsure of the most appropriate avenue for addressing a specific complaint, contact the Dean of Students Office.-There are some types of complaints for which there are formal complaint processes. Some areas for complaints and/or concerns are further explained in the Hokie Handbook.",http://www.dsa.vt.edu/students/studentcomplaints.php,,,
,Division of Student Affairs,Multicultural Competence Training,"DSA employees will apply to be a part of a three-year cohort experience around the development of multicultural competence. They will explore the scholarship around multicultural competence, pursue understanding of identity and self in context of social constructs, and both learn about and practice social change.  Year one will be framed with self-authorship, inclusive excellence, and the social change model. Year two will require participants to use their new lens and consider “Ut Prosim;” that is, to create social change within Virginia Tech. The third year will allow the cohort members to mentor a first-year cohort, thus completing the cycle of creating sustainable, meaningful change.  ",,Education and Scholarship,,
,Division of Student Affairs,Welcome Receptions,Welcome receptions offer an opportunity to build community for new and returning students from underrepresented backgrounds/identities,http://mps.vt.edu/,Campus Climate and Intergroup Relations,,
,Division of Student Affairs,Human Resources/Recruitment,"Human Resources in DSA will (a) initiate an exit interview process, (b) create an advanced diversity training for search committee chairs, and (c) standardize the candidate liaison role for all AP Faculty searches.",,Institutional Infrastructure,,
122,Division of Student Affairs,Aspirations for Student Learning,"The Aspirations for Learning challenge students to be” CURIOUS— to expose yourself to learning and opportunities that reveal new parts of yourself. We want you to pursue SELF-UNDERSTANDING and INTEGRITY— to discover the unique talents and values that will shape who you become. We want you to practice CIVILITY— to use Virginia Tech as a laboratory for discussing big ideas, problems, and our differences while being kind, compassionate, and caring. We want you to prepare for a life of COURAGEOUS LEADERSHIP— to recognize that making the world more humane and just comes at a cost for those who pave a better way for others. Finally, we want you to embrace UT PROSIM as a way of life—to remember that your education is not only for you, but also for the good you will do for society by giving back through service.”",http://www.dsa.vt.edu/aspirations/,Campus Climate and Intergroup Relations,,
124,Division of Student Affairs,Cranwell International Center,"Cranwell International Center is committed to the university's globalization initiatives and serves as the primary support service for the international community. Cranwell International Center promotes intercultural exchange, fosters a welcoming environment, and enhances the experience of all university and community participants. We support the university's focus on teaching and learning, research and discovery, and outreach and engagement through our commitment to quality programming, strong advocacy, collaboration, a dedicated facility, and valuable services.",http://www.international.vt.edu/,Campus Climate and Intergroup Relations,,
,Division of Student Affairs,Housing and Residence Life,"Housing and Residence Life hosts the 12th at 12 diversity dialogue series each month, and has coordinated and hosted the Housing and Residence Life Diversity Student Summit for 250 student leaders, facilitated by nationally-known diversity educator Dr. Maura Cullen. ",,,,
123,Division of Student Affairs,Intercultural Engagement Center,"As a unit within the Dean of Students, we embrace the values of student empowerment, helping students recognize and achieve their aspirations, and compassionate student advocacy. That means that folks can report injustice to our office, you could consider us consultants in your work, and we aim to be partners in addressing the specific needs of underrepresented groups on our campus.",http://www.mps.vt.edu/,Campus Climate and Intergroup Relations,,
127,Division of Student Affairs,Asian American Student Union (AASU),no information,https://www.facebook.com/VTAASU?ref=br_tf,Campus Climate and Intergroup Relations,,
137,Division of Student Affairs,Asian Pacific American Heritage Month,"Recognized nationally in 1992, Asian Pacific American Heritage Month is celebrated in the U.S. during the month of May to provide educational and entertainment-based programs relevant to Asian and Pacific Islander culture. During the regular academic calendar, Virginia Tech celebrates APAHM during the month of April.",http://www.mps.vt.edu/cultural_celebrations/asian_pacific_american_heritage_month/index.html,Campus Climate and Intergroup Relations,,
